folder,path,verdict,reason,forced,windows,windows_used,intent_windows,no_intent_windows,votes_keep,votes_swap,early_swap_triggered,early_keep_bonus,skipped_no_battle_start,skipped_missing_bases,skipped_bad_scan
20230929001213-ummm-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20230929001213-ummm-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,keep,votes_keep_win(2vs0),,5,3,0,5,2,0,0,1,1,0,1
20230929001213-ummm-bn6-vs-IndianaOrz-round1-p2,data/dataset/20230929001213-ummm-bn6-vs-IndianaOrz-round1-p2/actions.jsonl,unclear,insufficient_votes<2,,5,3,1,4,1,0,0,0,1,0,1
20230929001326-ummm-bn6-vs-DthKrdMnSP-round2-p1,data/dataset/20230929001326-ummm-bn6-vs-DthKrdMnSP-round2-p1/actions.jsonl,swap,votes_swap_win(2vs0),,4,2,1,3,0,2,0,0,1,0,1
20230929001326-ummm-bn6-vs-IndianaOrz-round2-p2,data/dataset/20230929001326-ummm-bn6-vs-IndianaOrz-round2-p2/actions.jsonl,keep,votes_keep_win(2vs0),,4,2,0,4,2,0,0,1,1,0,1
20230929004225-ummm-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20230929004225-ummm-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,keep,votes_keep_win(4vs0),,7,6,0,7,4,0,0,2,1,0,0
20230929004225-ummm-bn6-vs-IndianaOrz-round1-p2,data/dataset/20230929004225-ummm-bn6-vs-IndianaOrz-round1-p2/actions.jsonl,keep,votes_keep_win(2vs0),,7,6,2,5,2,0,0,0,1,0,0
20230929004739-ummm-bn6-vs-DthKrdMnSP-round2-p1,data/dataset/20230929004739-ummm-bn6-vs-DthKrdMnSP-round2-p1/actions.jsonl,keep,votes_keep_win(2vs0),,5,4,0,5,2,0,0,1,1,0,0
20230929004740-ummm-bn6-vs-IndianaOrz-round2-p2,data/dataset/20230929004740-ummm-bn6-vs-IndianaOrz-round2-p2/actions.jsonl,unclear,insufficient_votes<2,,5,4,1,4,1,0,0,0,1,0,0
20230929005054-ummm-bn6-vs-DthKrdMnSP-round3-p2,data/dataset/20230929005054-ummm-bn6-vs-DthKrdMnSP-round3-p2/actions.jsonl,keep,votes_keep_win(2vs0),,6,4,1,5,2,0,0,1,1,0,1
20230929005054-ummm-bn6-vs-IndianaOrz-round3-p1,data/dataset/20230929005054-ummm-bn6-vs-IndianaOrz-round3-p1/actions.jsonl,unclear,insufficient_votes<2,,6,4,2,4,1,0,0,0,1,0,1
20230929005408-ummm-bn6-vs-DthKrdMnSP-round1-p2,data/dataset/20230929005408-ummm-bn6-vs-DthKrdMnSP-round1-p2/actions.jsonl,keep,votes_keep_win(2vs0),,7,6,0,7,2,0,0,1,1,0,0
20230929005408-ummm-bn6-vs-IndianaOrz-round1-p1,data/dataset/20230929005408-ummm-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,swap,votes_swap_win(2vs0),,7,6,1,6,0,2,0,0,1,0,0
20230929005832-ummm-bn6-vs-DthKrdMnSP-round2-p2,data/dataset/20230929005832-ummm-bn6-vs-DthKrdMnSP-round2-p2/actions.jsonl,keep,votes_keep_win(4vs0),,6,5,0,6,4,0,0,2,1,0,0
20230929005832-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929005832-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,swap,votes_swap_win(4vs0),,6,5,2,4,0,4,0,0,1,0,0
20230929010731-ummm-bn6-vs-DthKrdMnSP-round1-p2,data/dataset/20230929010731-ummm-bn6-vs-DthKrdMnSP-round1-p2/actions.jsonl,keep,votes_keep_win(4vs0),,5,4,0,5,4,0,0,2,1,0,0
20230929010732-ummm-bn6-vs-IndianaOrz-round1-p1,data/dataset/20230929010732-ummm-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,swap,votes_swap_win(4vs0),,5,4,2,3,0,4,0,0,1,0,0
20230929011053-ummm-bn6-vs-DthKrdMnSP-round2-p2,data/dataset/20230929011053-ummm-bn6-vs-DthKrdMnSP-round2-p2/actions.jsonl,keep,votes_keep_win(2vs0),,5,3,0,5,2,0,0,1,1,0,1
20230929011053-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929011053-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,swap,votes_swap_win(2vs0),,5,3,1,4,0,2,0,0,1,0,1
20230929012017-ummm-bn6-vs-BiohazrdMnSP-round1-p1,data/dataset/20230929012017-ummm-bn6-vs-BiohazrdMnSP-round1-p1/actions.jsonl,keep,votes_keep_win(6vs0),,8,6,0,8,6,0,0,3,1,0,1
20230929012420-ummm-bn6-vs-BiohazrdMnSP-round2-p2,data/dataset/20230929012420-ummm-bn6-vs-BiohazrdMnSP-round2-p2/actions.jsonl,keep,votes_keep_win(8vs0),,7,6,0,7,8,0,0,4,1,0,0
20230929012825-ummm-bn6-vs-BiohazrdMnSP-round3-p1,data/dataset/20230929012825-ummm-bn6-vs-BiohazrdMnSP-round3-p1/actions.jsonl,keep,votes_keep_win(6vs0),,9,7,0,9,6,0,0,3,1,0,1
20230929014832-ummm-bn6-vs-DthKrdMnSP-round1-p2,data/dataset/20230929014832-ummm-bn6-vs-DthKrdMnSP-round1-p2/actions.jsonl,keep,votes_keep_win(4vs0),,5,3,0,5,4,0,0,2,1,0,1
20230929014832-ummm-bn6-vs-IndianaOrz-round1-p1,data/dataset/20230929014832-ummm-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,swap,votes_swap_win(4vs0),,5,3,2,3,0,4,0,0,1,0,1
20230929015052-ummm-bn6-vs-DthKrdMnSP-round2-p2,data/dataset/20230929015052-ummm-bn6-vs-DthKrdMnSP-round2-p2/actions.jsonl,keep,votes_keep_win(2vs0),,5,4,0,5,2,0,0,1,1,0,0
20230929015052-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929015052-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,swap,votes_swap_win(2vs0),,5,4,1,4,0,2,0,0,1,0,0
20230929015821-ummm-bn6-vs-BiohazrdMnSP-round1-p1,data/dataset/20230929015821-ummm-bn6-vs-BiohazrdMnSP-round1-p1/actions.jsonl,unclear,vote_tie,,4,3,1,3,2,2,0,1,1,0,0
20230929020048-ummm-bn6-vs-BiohazrdMnSP-round2-p2,data/dataset/20230929020048-ummm-bn6-vs-BiohazrdMnSP-round2-p2/actions.jsonl,swap,votes_swap_win(4vs2),,5,4,2,3,2,4,0,1,1,0,0
20230929020344-ummm-bn6-vs-BiohazrdMnSP-round3-p1,data/dataset/20230929020344-ummm-bn6-vs-BiohazrdMnSP-round3-p1/actions.jsonl,keep,votes_keep_win(4vs3),,6,5,2,4,4,3,0,2,1,0,0
20230929020733-ummm-bn6-vs-BiohazrdMnSP-round1-p2,data/dataset/20230929020733-ummm-bn6-vs-BiohazrdMnSP-round1-p2/actions.jsonl,keep,votes_keep_win(7vs0),,8,7,2,6,7,0,0,3,1,0,0
20230929021227-ummm-bn6-vs-BiohazrdMnSP-round2-p2,data/dataset/20230929021227-ummm-bn6-vs-BiohazrdMnSP-round2-p2/actions.jsonl,keep,votes_keep_win(5vs1),,7,6,2,5,5,1,0,2,1,0,0
20230929021718-ummm-bn6-vs-BiohazrdMnSP-round1-p2,data/dataset/20230929021718-ummm-bn6-vs-BiohazrdMnSP-round1-p2/actions.jsonl,keep,votes_keep_win(4vs0),,4,3,0,4,4,0,0,2,1,0,0
20230929021937-ummm-bn6-vs-BiohazrdMnSP-round2-p2,data/dataset/20230929021937-ummm-bn6-vs-BiohazrdMnSP-round2-p2/actions.jsonl,keep,votes_keep_win(2vs1),,6,4,0,6,2,1,0,1,1,0,1
20230929022250-ummm-bn6-vs-BiohazrdMnSP-round3-p1,data/dataset/20230929022250-ummm-bn6-vs-BiohazrdMnSP-round3-p1/actions.jsonl,unclear,vote_tie,,9,6,3,6,2,2,0,1,1,0,2
20230929023209-ummm-bn6-vs-BiohazrdMnSP-round1-p2,data/dataset/20230929023209-ummm-bn6-vs-BiohazrdMnSP-round1-p2/actions.jsonl,keep,votes_keep_win(2vs0),,7,5,0,7,2,0,0,1,1,0,1
20230929023540-ummm-bn6-vs-BiohazrdMnSP-round2-p2,data/dataset/20230929023540-ummm-bn6-vs-BiohazrdMnSP-round2-p2/actions.jsonl,keep,votes_keep_win(2vs0),,4,3,0,4,2,0,0,1,1,0,0
20230929023813-ummm-bn6-vs-BiohazrdMnSP-round1-p2,data/dataset/20230929023813-ummm-bn6-vs-BiohazrdMnSP-round1-p2/actions.jsonl,keep,votes_keep_win(6vs0),,8,4,1,7,6,0,0,3,1,0,3
20230929024105-ummm-bn6-vs-BiohazrdMnSP-round2-p2,data/dataset/20230929024105-ummm-bn6-vs-BiohazrdMnSP-round2-p2/actions.jsonl,keep,votes_keep_win(2vs1),,6,4,1,5,2,1,0,1,1,0,1
20230929024438-ummm-bn6-vs-BiohazrdMnSP-round1-p2,data/dataset/20230929024438-ummm-bn6-vs-BiohazrdMnSP-round1-p2/actions.jsonl,keep,votes_keep_win(4vs0),,5,4,1,4,4,0,0,2,1,0,0
20230929024752-ummm-bn6-vs-BiohazrdMnSP-round2-p2,data/dataset/20230929024752-ummm-bn6-vs-BiohazrdMnSP-round2-p2/actions.jsonl,keep,votes_keep_win(8vs0),,6,5,0,6,8,0,0,4,1,0,0
20230929025233-ummm-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20230929025233-ummm-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,keep,votes_keep_win(6vs0),,5,4,0,5,6,0,0,3,1,0,0
20230929025233-ummm-bn6-vs-IndianaOrz-round1-p2,data/dataset/20230929025233-ummm-bn6-vs-IndianaOrz-round1-p2/actions.jsonl,keep,votes_keep_win(2vs1),,5,4,3,2,2,1,0,0,1,0,0
20230929025517-ummm-bn6-vs-DthKrdMnSP-round2-p2,data/dataset/20230929025517-ummm-bn6-vs-DthKrdMnSP-round2-p2/actions.jsonl,keep,votes_keep_win(2vs0),,4,3,0,4,2,0,0,1,1,0,0
20230929025517-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929025517-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,swap,votes_swap_win(2vs0),,4,3,1,3,0,2,0,0,1,0,0
