folder,path,decision,center_method,best_normal_rate,best_flipped_rate,best_normal_label,best_flipped_label,apply_mirror,apply_swap_owner,apply_swap_entities,applied,error
20230929001326-ummm-bn6-vs-DthKrdMnSP-round2-p1,data/dataset/20230929001326-ummm-bn6-vs-DthKrdMnSP-round2-p1/actions.jsonl,unclear,kmeans,0.996506,0.996506,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929001326-ummm-bn6-vs-IndianaOrz-round2-p2,data/dataset/20230929001326-ummm-bn6-vs-IndianaOrz-round2-p2/actions.jsonl,unclear,quantile,0.953544,0.953544,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929001213-ummm-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20230929001213-ummm-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,normal,quantile,1.000000,0.967598,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929001213-ummm-bn6-vs-IndianaOrz-round1-p2,data/dataset/20230929001213-ummm-bn6-vs-IndianaOrz-round1-p2/actions.jsonl,flip,quantile,0.970463,1.000000,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,True,
20230929035201-ummm-bn6-vs-IndianaOrz-round1-p1,data/dataset/20230929035201-ummm-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,normal,kmeans,0.784429,0.568378,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=as-is",True,False,False,False,
20230929015821-ummm-bn6-vs-BiohazrdMnSP-round1-p1,data/dataset/20230929015821-ummm-bn6-vs-BiohazrdMnSP-round1-p1/actions.jsonl,normal,quantile,0.996650,0.939161,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929014832-ummm-bn6-vs-IndianaOrz-round1-p1,data/dataset/20230929014832-ummm-bn6-vs-IndianaOrz-round1-p1/actions.jsonl,unclear,kmeans,0.997590,0.995829,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929021718-ummm-bn6-vs-BiohazrdMnSP-round1-p2,data/dataset/20230929021718-ummm-bn6-vs-BiohazrdMnSP-round1-p2/actions.jsonl,unclear,kmeans,1.000000,1.000000,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929005054-ummm-bn6-vs-IndianaOrz-round3-p1,data/dataset/20230929005054-ummm-bn6-vs-IndianaOrz-round3-p1/actions.jsonl,normal,kmeans,0.997021,0.902496,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929025233-ummm-bn6-vs-DthKrdMnSP-round1-p1,data/dataset/20230929025233-ummm-bn6-vs-DthKrdMnSP-round1-p1/actions.jsonl,normal,quantile,0.998826,0.667897,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929035359-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929035359-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,normal,kmeans,0.999305,0.770428,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929011053-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929011053-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,normal,quantile,1.000000,0.604720,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929020048-ummm-bn6-vs-BiohazrdMnSP-round2-p2,data/dataset/20230929020048-ummm-bn6-vs-BiohazrdMnSP-round2-p2/actions.jsonl,normal,quantile,0.712696,0.651879,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929015052-ummm-bn6-vs-IndianaOrz-round2-p1,data/dataset/20230929015052-ummm-bn6-vs-IndianaOrz-round2-p1/actions.jsonl,normal,quantile,0.999696,0.614040,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929020344-ummm-bn6-vs-BiohazrdMnSP-round3-p1,data/dataset/20230929020344-ummm-bn6-vs-BiohazrdMnSP-round3-p1/actions.jsonl,unclear,quantile,0.995707,0.995707,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
20230929004739-ummm-bn6-vs-DthKrdMnSP-round2-p1,data/dataset/20230929004739-ummm-bn6-vs-DthKrdMnSP-round2-p1/actions.jsonl,normal,quantile,1.000000,0.758612,"normal | owner=0->P,1->E | entities=as-is","flipped | owner=0->P,1->E | entities=swap",True,False,True,False,
